device,router,connect_at,disconnect_at,lat,lng
825,Yurt_A2_F_1111_47:d6,2016-05-31 00:16:00,2016-05-31 05:08:00,40.8919999,29.3824433
17653,Kut_Giris_Masa4_a9:cd,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8901457,29.3778599
910,Yurt_B2_Kat2_AP5_e5:86,2016-05-31 00:16:00,2016-05-31 00:46:00,40.8924099,29.3807032
855,Yurt_B8_309_64:aa,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8935179,29.3810673
1000,Main_Gate_e4:b0,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8897876,29.3739547
1016,Yurt_B8_209_63:cc,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8937486,29.3807832
1018,Yurt_A6_203_62:20,2016-05-31 00:16:00,2016-05-31 01:47:00,40.8927851,29.3816755
1089,Yurt_B1_KatG_AP1_5a:78,2016-05-31 00:16:00,2016-05-31 02:47:00,40.8926823,29.3809213
1098,Yurt_B4_116_1118_AP6_64:3c,2016-05-31 00:16:00,2016-05-31 00:56:00,40.8918133,29.3820547
1141,Yurt_B6_Kat1_AP3_64:9a,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8933029,29.3813454
1195,Yurt_A5_309_64:7c,2016-05-31 00:16:00,2016-05-31 00:56:00,40.892745,29.3824068
16400,Yurt_B11_Kat2_AP2_5d:f8,2016-05-31 00:16:00,2016-05-31 00:46:00,40.8905651,29.3827854
1210,Yurt_A2_T_309_f7:7e,2016-05-31 00:16:00,2016-05-31 11:13:00,40.8923437,29.3822749
1218,Yurt_A4_308_5b:04,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8926558,29.3827778
16132,FMAN_1096__c4:0d,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8923302,29.3792071
1391,Yurt_A1_F_106_f8:27,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8922173,29.3818446
1407,Yurt_B4_116_1118_AP6_64:3c,2016-05-31 00:16:00,2016-05-31 00:56:00,40.8918133,29.3820547
1437,Yurt_B10_Kat3_AP4_85:0c,2016-05-31 00:16:00,2016-05-31 01:47:00,40.8909136,29.3830092
1412,Yurt_A2_S_2020_5b:54,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8922327,29.38282
1366,Main_Gate_e4:b0,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8897876,29.3739547
1445,Yurt_B10_Kat3_AP4_85:0c,2016-05-31 00:16:00,2016-05-31 04:48:00,40.8909136,29.3830092
1497,Yurt_B10_Kat1_AP4_86:68,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8909433,29.3829933
1501,Yurt_A1_G_03_f8:35,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8918924,29.3819134
1509,Yurt_B7_KatG_AP1_62:ca,2016-05-31 00:16:00,2016-05-31 02:47:00,40.8931097,29.3816516
1484,UC_sinema_a9:ca,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8918041,29.3797889
1540,Yurt_A4_303_61:ea,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8928166,29.3825953
1627,UC_Starbucks_d5:3d,2016-05-31 00:16:00,2016-05-31 00:46:00,40.8917016,29.3801932
1735,SNM_F106_58:43,2016-05-31 00:16:00,2016-05-31 00:26:00,40.889838,29.3786348
11189,Yurt_B10_Kat2_AP1_59:24,2016-05-31 00:16:00,2016-05-31 07:30:00,40.8910166,29.3833481
1642,Main_Gate_e4:b0,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8897876,29.3739547
12443,Yurt_B8_309_64:aa,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8935179,29.3810673
1667,FASS_Teras_Outway_cc:58,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8911601,29.3771296
1688,Yurt_B6_Kat1_AP3_64:9a,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8933029,29.3813454
16135,Kutuphane_Giris_Sag_7b:ae,2016-05-31 00:16:00,2016-05-31 01:47:00,40.8902597,29.3777499
1780,Yurt_A3_S_203_47:d8,2016-05-31 00:16:00,2016-05-31 01:47:00,40.8920801,29.3829151
19041,Kut_Giris_Masa2_99:56,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8903235,29.3780952
1817,Piazza_Cafe_7b:f7,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8918525,29.3814655
1882,Yurt_B11_KatG_AP4_5a:6c,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8907562,29.3830987
17254,Main_Gate_e4:b0,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8897876,29.3739547
2121,Yurt_B4_105_107_AP2_5a:82,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8913102,29.3827014
16462,Amfi_Tiyatro_1_7c:cc,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8930574,29.3792457
2138,Yurt_A6_2028_63:f4,2016-05-31 00:16:00,2016-05-31 00:56:00,40.8927356,29.3815402
2141,Yurt_A6_208_74:1a,2016-05-31 00:16:00,2016-05-31 16:48:00,40.8925294,29.3819535
2197,Yurt_B3_Kat2_AP7_86:0c,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8911114,29.3820051
2183,Yurt_A1_F_103_f8:5c,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8919224,29.3820836
20265,FMAN_204_34:c4,2016-05-31 00:16:00,2016-05-31 00:26:00,40.891931,29.3790437
